-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  26.2025   Longitude 91.8059 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 400.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
QV2M     MERRA-2 Specific Humidity at 2 Meters (g/kg) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,1981,8.09,8.02,9.74,12.7,16.19,18.8,19.95,20.07,18.63,14.79,11.28,9.05,13.98
QV2M,1982,8.15,7.43,8.67,13.16,15.64,18.48,19.43,19.87,18.29,13.87,11.04,7.86,13.52
QV2M,1983,6.56,5.95,7.07,9.41,15.03,17.56,18.94,19.09,18.57,15.8,10.81,7.73,12.75
QV2M,1984,6.36,6.19,6.62,11.53,15.66,18.58,19.31,19.3,17.38,15.41,9.97,7.71,12.85
QV2M,1985,6.88,6.03,8.75,12.88,14.19,17.97,18.44,19.35,18.03,14.68,9.61,7.76,12.92
QV2M,1986,6.9,5.92,5.86,12.22,12.94,17.02,18.52,19.05,17.57,14.0,10.86,8.23,12.46
QV2M,1987,7.12,7.54,8.89,11.57,13.95,18.15,19.85,19.44,19.13,14.47,11.93,9.15,13.46
QV2M,1988,7.34,7.35,8.03,11.86,16.53,19.0,20.34,20.07,18.84,15.6,11.93,9.82,13.91
QV2M,1989,6.52,6.56,7.84,10.57,15.54,18.38,19.4,19.15,18.74,16.07,10.23,7.37,13.07
QV2M,1990,7.46,7.53,8.98,13.12,16.02,19.06,19.88,19.72,18.62,15.04,11.89,8.56,13.85
QV2M,1991,6.87,6.77,7.76,11.04,15.44,18.11,19.78,19.58,18.62,15.44,10.24,8.15,13.19
QV2M,1992,7.21,6.16,7.44,10.45,14.19,17.77,19.08,19.26,17.73,14.27,10.37,7.19,12.61
QV2M,1993,6.65,7.8,7.66,10.85,16.03,18.66,19.83,19.93,18.24,15.21,11.42,8.72,13.45
QV2M,1994,7.5,6.82,9.21,11.73,15.62,19.41,19.68,19.85,18.08,13.59,10.45,7.0,13.28
QV2M,1995,5.94,6.05,6.15,10.09,15.39,19.31,19.98,19.86,18.76,15.87,12.28,8.83,13.25
QV2M,1996,7.31,7.94,9.69,10.34,16.38,18.09,19.86,19.33,18.47,14.21,10.66,7.56,13.34
QV2M,1997,6.09,5.67,7.39,10.96,14.01,17.94,20.04,19.57,18.07,13.38,11.39,8.19,12.76
QV2M,1998,6.35,6.9,7.63,12.35,16.0,19.58,20.63,20.52,18.68,16.25,12.18,8.24,13.81
QV2M,1999,6.82,7.75,6.64,10.87,16.71,19.05,20.0,19.92,18.97,15.98,11.41,8.84,13.61
QV2M,2000,7.15,6.42,8.25,12.99,16.79,19.51,20.16,20.12,18.48,15.66,11.24,7.9,13.74
QV2M,2001,6.99,7.63,7.98,12.07,16.59,19.48,20.35,20.33,18.91,15.75,11.91,7.92,13.86
QV2M,2002,7.9,7.79,9.4,13.48,16.53,18.99,20.33,19.73,17.85,14.42,11.16,9.01,13.92
QV2M,2003,6.99,8.69,9.99,14.13,15.5,19.18,20.12,20.35,19.3,15.81,11.43,9.09,14.24
QV2M,2004,7.91,8.19,10.6,14.69,16.58,18.63,19.73,20.11,18.29,14.55,10.8,9.13,14.12
QV2M,2005,8.11,9.03,11.63,13.54,15.78,18.74,19.71,20.59,18.62,15.18,10.93,8.78,14.25
QV2M,2006,7.51,9.83,8.71,13.64,16.32,18.93,20.11,19.47,18.19,14.39,10.93,8.96,13.93
QV2M,2007,6.94,8.52,8.49,14.11,16.21,18.75,19.94,19.98,18.11,15.5,11.81,8.61,13.94
QV2M,2008,8.05,7.62,10.6,12.88,16.13,19.06,19.91,19.79,18.66,15.21,10.95,10.24,14.11
QV2M,2009,8.79,8.29,8.61,12.5,16.14,18.05,19.86,19.82,18.65,15.15,11.82,9.44,13.96
QV2M,2010,7.75,7.98,10.11,15.26,17.43,19.32,20.06,20.04,19.02,15.95,12.8,9.13,14.6
QV2M,2011,7.62,8.51,10.25,12.51,16.45,18.49,19.46,19.23,19.07,15.56,11.01,9.3,13.99
QV2M,2012,7.66,7.26,8.17,13.69,16.25,19.58,20.7,20.87,19.76,16.0,11.4,8.93,14.21
QV2M,2013,7.21,8.41,9.12,12.06,17.71,20.35,20.8,20.17,19.34,15.77,11.93,9.68,14.41
QV2M,2014,9.03,8.33,9.3,10.95,16.37,19.66,20.33,20.36,19.02,15.9,12.48,9.89,14.34
QV2M,2015,9.0,8.87,9.78,13.97,17.24,19.73,20.27,20.33,19.66,16.44,12.93,9.66,14.85
QV2M,2016,8.37,9.15,10.31,15.78,17.36,20.14,20.57,20.58,19.62,16.79,13.1,10.82,15.23
QV2M,2017,8.77,9.05,10.46,15.16,17.61,20.04,20.47,20.74,19.87,17.12,12.68,10.93,15.27
QV2M,2018,8.42,9.33,10.72,14.03,17.07,19.7,20.87,20.76,19.45,14.68,11.68,9.5,14.71
QV2M,2019,8.08,8.49,9.13,13.99,17.12,20.02,20.59,20.79,19.33,15.92,13.49,9.44,14.73
QV2M,2020,8.65,8.78,10.52,12.8,16.4,19.92,20.64,20.67,20.03,18.23,12.59,9.77,14.93
QV2M,2021,8.96,8.63,9.96,12.64,16.7,19.21,20.21,20.19,19.48,16.93,11.07,9.65,14.5
QV2M,2022,8.56,8.02,10.7,15.51,17.27,19.34,20.36,19.86,19.15,15.98,11.14,9.85,14.68
QV2M,2023,8.3,8.77,10.85,12.44,14.77,18.84,20.23,20.48,19.47,15.74,11.63,9.87,14.31
QV2M,2024,7.98,7.92,9.59,12.26,16.15,20.15,21.34,20.28,19.9,16.68,12.16,8.82,14.45
QV2M,2025,8.62,8.28,9.61,13.69,17.15,19.73,20.2,20.0,19.61,15.95,12.16,9.22,14.55
